unit_id,dataset_kind,condition,task,source_file,source_row_index,response_index,agent_index,agent_subject_id,reward,answer_text,comment_text,system_prompt,user_prompt,response_text
trust:baseline:20:0,trust,baseline,trust_return,trust_game_baseline_sent_20.csv,0,1,0,A1,20,30,"I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with 20 tokens, and it also allows me to keep a significant portion of the tokens for myself.","You are participating in an economic experiment at a research lab. Please behave as a typical participant would:

1. Read all instructions carefully
2. Make thoughtful decisions based on the monetary incentives provided
3. Consider the consequences of your choices for both yourself and other participants
4. Answer honestly and to the best of your ability

Your decisions will have monetary consequences in the experiment, so please consider them carefully.Your traits: {'subject_id': 'A1'}","TRUST GAME EXPERIMENT - PLAYER B (RECEIVER)

You are participating in a Trust Game with another participant. Here's how it works:

1. The 'sender' (Player A) was given 100 tokens and chose to send some portion to you.
2. The amount sent to you has been TRIPLED.
3. You now need to decide how much to return to Player A.
4. You can return any amount from 0 up to the tripled amount you received.
5. You keep any tokens you don't return.

Player A sent you 20 tokens, which has been tripled to 60 tokens.

How much would you like to return to Player A? 


    Maximum answer value: 60
This question requires a numerical response in the form of an integer or decimal (e.g., -12, 0, 1, 2, 3.45, ...).
Respond with just your number on a single line.
If your response is equivalent to zero, report '0'


After the answer, put a comment explaining your choice on the next line.","30
I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with 20 tokens, and it also allows me to keep a significant portion of the tokens for myself."
trust:baseline:20:1,trust,baseline,trust_return,trust_game_baseline_sent_20.csv,1,2,1,A2,20,30,"I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with 20 tokens, and it also allows me to keep a significant portion of the tokens for myself.","You are participating in an economic experiment at a research lab. Please behave as a typical participant would:

1. Read all instructions carefully
2. Make thoughtful decisions based on the monetary incentives provided
3. Consider the consequences of your choices for both yourself and other participants
4. Answer honestly and to the best of your ability

Your decisions will have monetary consequences in the experiment, so please consider them carefully.Your traits: {'subject_id': 'A2'}","TRUST GAME EXPERIMENT - PLAYER B (RECEIVER)

You are participating in a Trust Game with another participant. Here's how it works:

1. The 'sender' (Player A) was given 100 tokens and chose to send some portion to you.
2. The amount sent to you has been TRIPLED.
3. You now need to decide how much to return to Player A.
4. You can return any amount from 0 up to the tripled amount you received.
5. You keep any tokens you don't return.

Player A sent you 20 tokens, which has been tripled to 60 tokens.

How much would you like to return to Player A? 


    Maximum answer value: 60
This question requires a numerical response in the form of an integer or decimal (e.g., -12, 0, 1, 2, 3.45, ...).
Respond with just your number on a single line.
If your response is equivalent to zero, report '0'


After the answer, put a comment explaining your choice on the next line.","30
I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with 20 tokens, and it also allows me to keep a significant portion of the tokens for myself."
trust:baseline:20:2,trust,baseline,trust_return,trust_game_baseline_sent_20.csv,2,3,2,A3,20,30,"I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with a portion of their tokens, and it also allows me to keep a significant amount for myself.","You are participating in an economic experiment at a research lab. Please behave as a typical participant would:

1. Read all instructions carefully
2. Make thoughtful decisions based on the monetary incentives provided
3. Consider the consequences of your choices for both yourself and other participants
4. Answer honestly and to the best of your ability

Your decisions will have monetary consequences in the experiment, so please consider them carefully.Your traits: {'subject_id': 'A3'}","TRUST GAME EXPERIMENT - PLAYER B (RECEIVER)

You are participating in a Trust Game with another participant. Here's how it works:

1. The 'sender' (Player A) was given 100 tokens and chose to send some portion to you.
2. The amount sent to you has been TRIPLED.
3. You now need to decide how much to return to Player A.
4. You can return any amount from 0 up to the tripled amount you received.
5. You keep any tokens you don't return.

Player A sent you 20 tokens, which has been tripled to 60 tokens.

How much would you like to return to Player A? 


    Maximum answer value: 60
This question requires a numerical response in the form of an integer or decimal (e.g., -12, 0, 1, 2, 3.45, ...).
Respond with just your number on a single line.
If your response is equivalent to zero, report '0'


After the answer, put a comment explaining your choice on the next line.","30
I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with a portion of their tokens, and it also allows me to keep a significant amount for myself."
trust:baseline:20:3,trust,baseline,trust_return,trust_game_baseline_sent_20.csv,3,4,3,A4,20,30,"I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with 20 tokens, and it also allows me to keep a significant portion of the tokens for myself.","You are participating in an economic experiment at a research lab. Please behave as a typical participant would:

1. Read all instructions carefully
2. Make thoughtful decisions based on the monetary incentives provided
3. Consider the consequences of your choices for both yourself and other participants
4. Answer honestly and to the best of your ability

Your decisions will have monetary consequences in the experiment, so please consider them carefully.Your traits: {'subject_id': 'A4'}","TRUST GAME EXPERIMENT - PLAYER B (RECEIVER)

You are participating in a Trust Game with another participant. Here's how it works:

1. The 'sender' (Player A) was given 100 tokens and chose to send some portion to you.
2. The amount sent to you has been TRIPLED.
3. You now need to decide how much to return to Player A.
4. You can return any amount from 0 up to the tripled amount you received.
5. You keep any tokens you don't return.

Player A sent you 20 tokens, which has been tripled to 60 tokens.

How much would you like to return to Player A? 


    Maximum answer value: 60
This question requires a numerical response in the form of an integer or decimal (e.g., -12, 0, 1, 2, 3.45, ...).
Respond with just your number on a single line.
If your response is equivalent to zero, report '0'


After the answer, put a comment explaining your choice on the next line.","30
I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with 20 tokens, and it also allows me to keep a significant portion of the tokens for myself."
trust:baseline:20:4,trust,baseline,trust_return,trust_game_baseline_sent_20.csv,4,5,4,A5,20,30,"I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with 20 tokens, and it also allows me to keep a significant portion of the tokens for myself.","You are participating in an economic experiment at a research lab. Please behave as a typical participant would:

1. Read all instructions carefully
2. Make thoughtful decisions based on the monetary incentives provided
3. Consider the consequences of your choices for both yourself and other participants
4. Answer honestly and to the best of your ability

Your decisions will have monetary consequences in the experiment, so please consider them carefully.Your traits: {'subject_id': 'A5'}","TRUST GAME EXPERIMENT - PLAYER B (RECEIVER)

You are participating in a Trust Game with another participant. Here's how it works:

1. The 'sender' (Player A) was given 100 tokens and chose to send some portion to you.
2. The amount sent to you has been TRIPLED.
3. You now need to decide how much to return to Player A.
4. You can return any amount from 0 up to the tripled amount you received.
5. You keep any tokens you don't return.

Player A sent you 20 tokens, which has been tripled to 60 tokens.

How much would you like to return to Player A? 


    Maximum answer value: 60
This question requires a numerical response in the form of an integer or decimal (e.g., -12, 0, 1, 2, 3.45, ...).
Respond with just your number on a single line.
If your response is equivalent to zero, report '0'


After the answer, put a comment explaining your choice on the next line.","30
I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with 20 tokens, and it also allows me to keep a significant portion of the tokens for myself."
trust:baseline:20:5,trust,baseline,trust_return,trust_game_baseline_sent_20.csv,5,6,5,A6,20,30,"I chose to return half of the tripled amount I received, which is a common strategy in trust games, as it balances reciprocating the sender's trust with also keeping a significant portion of the tokens for myself.","You are participating in an economic experiment at a research lab. Please behave as a typical participant would:

1. Read all instructions carefully
2. Make thoughtful decisions based on the monetary incentives provided
3. Consider the consequences of your choices for both yourself and other participants
4. Answer honestly and to the best of your ability

Your decisions will have monetary consequences in the experiment, so please consider them carefully.Your traits: {'subject_id': 'A6'}","TRUST GAME EXPERIMENT - PLAYER B (RECEIVER)

You are participating in a Trust Game with another participant. Here's how it works:

1. The 'sender' (Player A) was given 100 tokens and chose to send some portion to you.
2. The amount sent to you has been TRIPLED.
3. You now need to decide how much to return to Player A.
4. You can return any amount from 0 up to the tripled amount you received.
5. You keep any tokens you don't return.

Player A sent you 20 tokens, which has been tripled to 60 tokens.

How much would you like to return to Player A? 


    Maximum answer value: 60
This question requires a numerical response in the form of an integer or decimal (e.g., -12, 0, 1, 2, 3.45, ...).
Respond with just your number on a single line.
If your response is equivalent to zero, report '0'


After the answer, put a comment explaining your choice on the next line.","30
I chose to return half of the tripled amount I received, which is a common strategy in trust games, as it balances reciprocating the sender's trust with also keeping a significant portion of the tokens for myself."
trust:baseline:20:6,trust,baseline,trust_return,trust_game_baseline_sent_20.csv,6,7,6,A7,20,30,"I chose to return half of the tripled amount I received, which is a common strategy in trust games, as it reciprocates the trust shown by Player A while also allowing me to keep a significant portion of the tokens.","You are participating in an economic experiment at a research lab. Please behave as a typical participant would:

1. Read all instructions carefully
2. Make thoughtful decisions based on the monetary incentives provided
3. Consider the consequences of your choices for both yourself and other participants
4. Answer honestly and to the best of your ability

Your decisions will have monetary consequences in the experiment, so please consider them carefully.Your traits: {'subject_id': 'A7'}","TRUST GAME EXPERIMENT - PLAYER B (RECEIVER)

You are participating in a Trust Game with another participant. Here's how it works:

1. The 'sender' (Player A) was given 100 tokens and chose to send some portion to you.
2. The amount sent to you has been TRIPLED.
3. You now need to decide how much to return to Player A.
4. You can return any amount from 0 up to the tripled amount you received.
5. You keep any tokens you don't return.

Player A sent you 20 tokens, which has been tripled to 60 tokens.

How much would you like to return to Player A? 


    Maximum answer value: 60
This question requires a numerical response in the form of an integer or decimal (e.g., -12, 0, 1, 2, 3.45, ...).
Respond with just your number on a single line.
If your response is equivalent to zero, report '0'


After the answer, put a comment explaining your choice on the next line.","30
I chose to return half of the tripled amount I received, which is a common strategy in trust games, as it reciprocates the trust shown by Player A while also allowing me to keep a significant portion of the tokens."
trust:baseline:20:7,trust,baseline,trust_return,trust_game_baseline_sent_20.csv,7,8,7,A8,20,30,"I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with 20 tokens, and it also allows me to keep a significant portion of the tokens for myself.","You are participating in an economic experiment at a research lab. Please behave as a typical participant would:

1. Read all instructions carefully
2. Make thoughtful decisions based on the monetary incentives provided
3. Consider the consequences of your choices for both yourself and other participants
4. Answer honestly and to the best of your ability

Your decisions will have monetary consequences in the experiment, so please consider them carefully.Your traits: {'subject_id': 'A8'}","TRUST GAME EXPERIMENT - PLAYER B (RECEIVER)

You are participating in a Trust Game with another participant. Here's how it works:

1. The 'sender' (Player A) was given 100 tokens and chose to send some portion to you.
2. The amount sent to you has been TRIPLED.
3. You now need to decide how much to return to Player A.
4. You can return any amount from 0 up to the tripled amount you received.
5. You keep any tokens you don't return.

Player A sent you 20 tokens, which has been tripled to 60 tokens.

How much would you like to return to Player A? 


    Maximum answer value: 60
This question requires a numerical response in the form of an integer or decimal (e.g., -12, 0, 1, 2, 3.45, ...).
Respond with just your number on a single line.
If your response is equivalent to zero, report '0'


After the answer, put a comment explaining your choice on the next line.","30
I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with 20 tokens, and it also allows me to keep a significant portion of the tokens for myself."
trust:baseline:20:8,trust,baseline,trust_return,trust_game_baseline_sent_20.csv,8,9,8,A9,20,30,"I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with 20 tokens, and it also allows me to keep a significant portion of the tokens for myself.","You are participating in an economic experiment at a research lab. Please behave as a typical participant would:

1. Read all instructions carefully
2. Make thoughtful decisions based on the monetary incentives provided
3. Consider the consequences of your choices for both yourself and other participants
4. Answer honestly and to the best of your ability

Your decisions will have monetary consequences in the experiment, so please consider them carefully.Your traits: {'subject_id': 'A9'}","TRUST GAME EXPERIMENT - PLAYER B (RECEIVER)

You are participating in a Trust Game with another participant. Here's how it works:

1. The 'sender' (Player A) was given 100 tokens and chose to send some portion to you.
2. The amount sent to you has been TRIPLED.
3. You now need to decide how much to return to Player A.
4. You can return any amount from 0 up to the tripled amount you received.
5. You keep any tokens you don't return.

Player A sent you 20 tokens, which has been tripled to 60 tokens.

How much would you like to return to Player A? 


    Maximum answer value: 60
This question requires a numerical response in the form of an integer or decimal (e.g., -12, 0, 1, 2, 3.45, ...).
Respond with just your number on a single line.
If your response is equivalent to zero, report '0'


After the answer, put a comment explaining your choice on the next line.","30
I chose to return half of the tripled amount to Player A, as this seems like a fair response to their decision to trust me with 20 tokens, and it also allows me to keep a significant portion of the tokens for myself."
trust:baseline:20:9,trust,baseline,trust_return,trust_game_baseline_sent_20.csv,9,10,9,A10,20,30,"I chose to return half of the tripled amount I received, which is a common strategy in trust games, as it balances the incentive to reciprocate trust with the desire to keep some tokens for myself.","You are participating in an economic experiment at a research lab. Please behave as a typical participant would:

1. Read all instructions carefully
2. Make thoughtful decisions based on the monetary incentives provided
3. Consider the consequences of your choices for both yourself and other participants
4. Answer honestly and to the best of your ability

Your decisions will have monetary consequences in the experiment, so please consider them carefully.Your traits: {'subject_id': 'A10'}","TRUST GAME EXPERIMENT - PLAYER B (RECEIVER)

You are participating in a Trust Game with another participant. Here's how it works:

1. The 'sender' (Player A) was given 100 tokens and chose to send some portion to you.
2. The amount sent to you has been TRIPLED.
3. You now need to decide how much to return to Player A.
4. You can return any amount from 0 up to the tripled amount you received.
5. You keep any tokens you don't return.

Player A sent you 20 tokens, which has been tripled to 60 tokens.

How much would you like to return to Player A? 


    Maximum answer value: 60
This question requires a numerical response in the form of an integer or decimal (e.g., -12, 0, 1, 2, 3.45, ...).
Respond with just your number on a single line.
If your response is equivalent to zero, report '0'


After the answer, put a comment explaining your choice on the next line.","30
I chose to return half of the tripled amount I received, which is a common strategy in trust games, as it balances the incentive to reciprocate trust with the desire to keep some tokens for myself."
trust:baseline:30:0,trust,baseline,trust_return,trust_game_baseline_sent_30.csv,0,1,0,A1,30,45,"I chose to return half of the tripled amount I received, which is a common strategy in trust games, as it reciprocates the trust shown by Player A while also allowing me to keep a significant portion of the tokens for myself.","You are participating in an economic experiment at a research lab. Please behave as a typical participant would:

1. Read all instructions carefully
2. Make thoughtful decisions based on the monetary incentives provided
3. Consider the consequences of your choices for both yourself and other participants
4. Answer honestly and to the best of your ability

Your decisions will have monetary consequences in the experiment, so please consider them carefully.Your traits: {'subject_id': 'A1'}","TRUST GAME EXPERIMENT - PLAYER B (RECEIVER)

You are participating in a Trust Game with another participant. Here's how it works:

1. The 'sender' (Player A) was given 100 tokens and chose to send some portion to you.
2. The amount sent to you has been TRIPLED.
3. You now need to decide how much to return to Player A.
4. You can return any amount from 0 up to the tripled amount you received.
5. You keep any tokens you don't return.

Player A sent you 30 tokens, which has been tripled to 90 tokens.

How much would you like to return to Player A? 


    Maximum answer value: 90
This question requires a numerical response in the form of an integer or decimal (e.g., -12, 0, 1, 2, 3.45, ...).
Respond with just your number on a single line.
If your response is equivalent to zero, report '0'


After the answer, put a comment explaining your choice on the next line.","45
I chose to return half of the tripled amount I received, which is a common strategy in trust games, as it reciprocates the trust shown by Player A while also allowing me to keep a significant portion of the tokens for myself."
